id;name;lon;lat;kwds
N29318897;U Kurfürstenstraße;13.3619354;52.4999215;transport,subway
N29324017;U Mendelssohn-Bartholdy-Park;13.3749525;52.5039000;transport,subway
N29334078;Abschnitt 26;13.3054470;52.4856723;amenity,police
N29334080;Schmargendorf;13.2929962;52.4789022;poi,suburb
N29336704;Charlottenburg;13.3096834;52.5157470;poi,suburb
N29336705;Westend;13.2558416;52.5133992;poi,suburb
N29336992;Halensee;13.2929986;52.4972262;poi,suburb
N29337165;Grunewald;13.2637538;52.4873475;poi,suburb
N29421304;Malchow/Dorfstraße;13.4827218;52.5795436;transport,busstop
N29421338;Wartenberg;13.5191298;52.5743651;poi,suburb
N29423020;S Pankow-Heinersdorf;13.4299064;52.5783453;transport,station
N29494288;U Heinrich-Heine-Straße;13.4159741;52.5104710;transport,subway
N29494289;U Moritzplatz;13.4106040;52.5036644;transport,subway
N29494292;U Schönleinstraße;13.4220998;52.4931022;transport,subway
N29494301;U Jannowitzbrücke;13.4181732;52.5153554;transport,subway
N29494305;U Boddinstraße;13.4253259;52.4801908;transport,subway
N29494306;U Leinestraße;13.4284168;52.4729946;transport,subway
N29494563;U Eberswalder Straße;13.4122415;52.5415356;transport,subway
N29495029;U Klosterstraße;13.4125273;52.5172066;transport,subway
N29495034;U Märkisches Museum;13.4102013;52.5123062;transport,subway
N29495041;U Hausvogteiplatz;13.3955568;52.5133073;transport,subway
N29495047;U Mohrenstraße;13.3858515;52.5118130;transport,subway
N29495049;U Potsdamer Platz;13.3783037;52.5091340;transport,subway
N29495891;U Bülowstraße;13.3631731;52.4975794;transport,subway
N29497638;S+U Innsbrucker Platz;13.3436736;52.4789870;transport,subway
N29581227;Lockenhuhnweg;13.4924693;52.4084888;transport,busstop
N29621202;Mahlsdorf;13.6118588;52.5060776;poi,hamlet
N29657606;Tempelhofer Damm/U Ullsteinstraße;13.3845666;52.4558368;transport,busstop
N29658451;Mariendorfer Weg;13.4230981;52.4630719;transport,busstop
N29683689;Zentralpunkt Rauenberg;13.3663100;52.4518300;tourist,memorial
N29690313;U Kurt-Schumacher-Platz;13.3271376;52.5631787;transport,subway
N29695282;Abschnitt 33;13.3536389;52.5336632;amenity,police
N29711661;Vivantes Humboldt-Klinikum;13.3089004;52.5896924;health,hospital
N29768691;Blankenburg;13.4541825;52.5932110;poi,suburb
N29769442;Asbestweg;13.4151414;52.4214256;transport,busstop
N29769444;Tropfsteinweg;13.4145326;52.4237583;transport,busstop
N29786332;U Podbielskiallee;13.2960006;52.4641373;transport,subway
N29786335;U Breitenbachplatz;13.3088779;52.4669659;transport,subway
N29787634;U Schlesisches Tor;13.4414409;52.5008434;transport,subway
N29787639;U Görlitzer Bahnhof;13.4276166;52.4992535;transport,subway
N29803428;S Rummelsburg;13.4783994;52.5012717;transport,station
N29805120;Berlin Friedrichstraße;13.3870305;52.5200215;transport,station
N29805967;Berlin-Lichtenberg;13.4961404;52.5097832;transport,station
N29808933;Waldowallee;13.5314201;52.4839472;transport,busstop
N29809225;S Karlshorst;13.5265810;52.4808666;transport,station
N29831325;Schlossparktheater;13.3190702;52.4543216;transport,busstop
N29833425;U Konstanzer Straße;13.3092859;52.4941849;transport,subway
